sample_idx,perturbation,run,circular_cross_correlation,optimal_lag,cosine_similarity,pearson_correlation,spearman_correlation,spectral_magnitude_correlation,spectral_phase_correlation,combined_spectral_score,earth_mover_distance,fourier_distance,jensen_shannon_divergence,l1_distance,l2_distance
900,phase_shift,0,0.8148781295302594,-52,0.6787860332536794,0.4822537638151221,0.7126431436076618,0.9665230524667705,-0.017012963813301276,0.6714622475827489,100.6665595641814,61.1365045233815,0.3143667947528875,0.13058963665787954,0.16581358652940945
900,phase_shift,1,0.7759597991134162,-52,0.6317262702135816,0.5117402412936949,0.7126431436076618,0.9302673132758763,-0.014268868738691806,0.6469064586715058,109.77948382132456,68.76472003413893,0.36088139885349796,0.14119010725095224,0.17431033085542083
900,phase_shift,2,0.799589941382581,-52,0.5973590165170699,0.3920265178563642,0.7126431436076618,0.9726452993087078,0.018571360265484504,0.6864231175957408,123.10612508562167,68.11012475419206,0.3837703226763212,0.14334067805701606,0.18405502238684987
900,phase_shift,3,0.7624042343455223,-52,0.607957205734849,0.39983420604763753,0.7126431436076618,0.9576758560437216,-0.022515720012780994,0.6636183832267708,126.37039627241197,67.14796443413523,0.3934511885034875,0.1414671269645814,0.18191500453848908
900,phase_shift,4,0.854493475056382,-52,0.6878646217951592,0.47483445641678246,0.7126431436076618,0.9839881294553029,0.00942083241603243,0.6916179403435218,92.30006427219593,59.785895190864,0.305350714753142,0.12817390296143816,0.16588628076040904
900,phase_shift,5,0.8490451136397249,-52,0.697731657940839,0.48939549884453365,0.7126431436076618,0.9807893884753137,-0.0028227950819993733,0.6857057334081198,91.374991310014,59.48394871371254,0.2961940913020676,0.12931849501754974,0.16674705621645874
900,phase_shift,6,0.7772821675467656,-52,0.6358148694002567,0.44504952687881305,0.7126431436076618,0.9540882512268659,-0.017881667739056084,0.6624972755370893,115.76815284495966,65.26336547290131,0.3620246214684443,0.13854871332926047,0.17468792155517265
900,phase_shift,7,0.7396797234186402,-52,0.5877705949636769,0.4972447348282813,0.7126431436076618,0.9047004413251873,-0.014496030824097892,0.6289414996804017,121.11721955982543,72.30904263482773,0.4158501150030051,0.1498803265855916,0.18398152245638363
900,phase_shift,8,0.8023698858727815,-52,0.605793216402798,0.3768015918268803,0.7126431436076618,0.9792258922195606,0.017710010017680418,0.6907711275589965,122.120661841122,66.83176842008996,0.3726151944477967,0.14726495893304367,0.1809085187468153
900,phase_shift,9,0.826224108305827,-52,0.6756566310006499,0.4423898758420988,0.7126431436076618,0.9788373658703565,-0.011372077560502793,0.6817745328410987,100.9979084008005,60.516388377396204,0.31544289377872564,0.13273259535716322,0.16804126497376776
900,frequency_mask,0,0.7726785444488882,0,0.7726785444488884,0.8905332676966344,0.9485257283012811,0.7779116946163279,0.49654062799048343,0.6935003746285745,20.370881971771006,61.58888012912291,0.12052612793328671,0.1558659962509966,0.1585520885333225
900,frequency_mask,1,0.8711963947341559,0,0.8711963947341559,0.7776957745273627,0.48933450700455716,0.9281428811024234,0.31772861609949926,0.7450186016015461,24.306518888125712,35.707065890513725,0.18496901565078847,0.07844795472874036,0.1009757834846243
900,frequency_mask,2,0.7274877144825408,218,0.6573679751582351,0.012848297416313166,0.33596660620175384,0.7394082962836553,0.13026140184449653,0.5566642279519077,31.453274307103232,72.95615692299931,0.1830154346632416,0.17333127616882246,0.18091459585383868
900,frequency_mask,3,0.8079502573821774,1,0.8074666255198508,0.940388612196825,0.5409804451528,0.8182761939033859,0.22605007584612336,0.6406083584862071,12.793642179939868,53.9910052451158,0.10154567797970093,0.1410781121258531,0.14331477326497621
900,frequency_mask,4,0.8527564389237184,-4,0.8427076130580886,0.7492501085270217,0.4853948362041045,0.8965715961577471,0.011746714521301474,0.6311241316668134,12.956702199397967,59.766535826988175,0.15084159881488912,0.14474644532407116,0.15123700634539353
900,frequency_mask,5,0.8130539168277574,-77,0.7795065988450165,0.5498215997990537,0.5325175716747234,0.9021531055407542,0.24297050492327424,0.7043983253555102,29.834865463902027,49.25173439419097,0.17813402241550705,0.12535125720134963,0.13411483977927652
900,frequency_mask,6,0.8219098482024512,0,0.8219098482024508,0.9671764996551115,0.7541494578738273,0.825711246668392,0.6459553564764022,0.7717844796107951,13.181735579506384,77.26952960284096,0.08921939356814264,0.17357869914728277,0.18607045626138702
900,frequency_mask,7,0.8886714809177785,0,0.8886714809177785,0.7920781637600793,0.48933450700455716,0.9600293694167672,0.2372023861496902,0.7431812744366441,18.292326387648913,41.08010093439632,0.11873277568557919,0.08967957340345739,0.10767407470552434
900,frequency_mask,8,0.8220916256063926,103,0.7178813496412475,0.3805912885779526,0.15660318938358203,0.9069098603024306,-0.08413668511449417,0.6095958966773531,61.47936977648459,62.42634785317051,0.20128299884718737,0.14607809780355477,0.16319650958883997
900,frequency_mask,9,0.7068619329611194,223,0.6280680349425679,-0.5602620456387366,-0.6490546293482315,0.7197898141414254,-0.06703033582689451,0.4837437691509294,31.806332595420983,68.2443905590885,0.19278753780068053,0.17043710590399874,0.17435291020991134
