sample_idx,perturbation,run,circular_cross_correlation,optimal_lag,cosine_similarity,pearson_correlation,spearman_correlation,spectral_magnitude_correlation,spectral_phase_correlation,combined_spectral_score,earth_mover_distance,fourier_distance,jensen_shannon_divergence,l1_distance,l2_distance
19,phase_shift,0,0.97673122363775,3,0.976114621091327,0.8709632675097665,0.9641348149258043,0.9796826916619091,0.11580113283036501,0.7205182240124459,15.651663847810356,19.718051487571937,0.07527478382997113,0.032941410608950436,0.04514528830239172
19,phase_shift,1,0.985190013202991,3,0.984517419072291,0.848184141080382,0.9506836480885426,0.9879827756260304,0.05980754156797742,0.7095302054086144,12.497193941922415,24.26871714413815,0.06134597945927203,0.04461478810185346,0.05235593407308886
19,phase_shift,2,0.9735083815542118,3,0.9727947125102396,0.8634498950811517,0.9506836480885426,0.9770338912378221,0.09190838537632276,0.7114962394793723,15.76808032289335,17.252422048145576,0.08089603564745125,0.028715871830340817,0.040974292869376296
19,phase_shift,3,0.9782035547981863,3,0.9775903764184921,0.8826349900335965,0.9506836480885426,0.9810836289641633,0.039124485308715685,0.6984958858675291,20.12352245762748,21.66169080126659,0.07132691205338818,0.03737470998613571,0.048683399735386323
19,phase_shift,4,0.9877541239511856,3,0.987051210340417,0.7682798089118494,0.9506836480885426,0.9912848622684892,0.06103070810470765,0.7122086160193547,6.938359253661313,15.203337319589355,0.059163191369700774,0.029385523615993545,0.03391580802520982
19,phase_shift,5,0.9912209277959526,3,0.9906811498331811,0.8187650004712446,0.9506836480885426,0.9935226276943369,0.06978993731042553,0.7164028205791635,6.239191465894168,19.184410576021307,0.048481673623169276,0.035848096385907226,0.040887931527316124
19,phase_shift,6,0.9926977095430092,3,0.992298200966109,0.8112141465105067,0.4335685223230654,0.9947796682480368,0.04687105542929051,0.7104070844024128,12.29792092608665,17.27932671043759,0.043201369944002435,0.03235213415696611,0.036730809914168085
19,phase_shift,7,0.9476032442602338,3,0.9469695222167179,0.8782602673852284,0.19092399861971202,0.9527101238406048,0.04679494227521365,0.6809355693709874,38.95918091375813,30.610112476563067,0.11066527972456869,0.04831944565912095,0.07185190435588383
19,phase_shift,8,0.9777983123767207,3,0.9771351705428054,0.866970062914165,0.9506836480885426,0.9808825147536798,0.09973219652885437,0.7165374192862322,14.75603221462941,7.399665684694542,0.07373470338288625,0.016824971475330658,0.020858371878520663
19,phase_shift,9,0.9929725526402194,3,0.9924368049080476,0.8259094043314528,0.4335685223230654,0.9948945235686385,0.041503965947049845,0.7088773562821619,7.842859741063724,30.684754368171056,0.043409873017312105,0.05932008006017728,0.06335265831047203
19,phase_shift,10,0.9890869036351932,3,0.9886181104847843,0.8825448825976382,0.9506836480885426,0.9908143847823092,0.09167473881859853,0.721072490993196,11.751082286297052,6.582288886629064,0.051172217023969103,0.010967107885092305,0.01744067865837602
19,phase_shift,11,0.9762726016881873,3,0.9756952890543579,0.8729838697442887,0.9641348149258043,0.9791083713341433,0.12636169495506733,0.7232843684204204,16.27452373392388,19.853764632134492,0.07595201989548661,0.03306481385178958,0.045495578526535095
19,phase_shift,12,0.9922599213083765,3,0.9918149993784411,0.8047936690470948,0.9641348149258043,0.9943573413989495,0.07359044901210168,0.7181272736828951,6.509912485176033,23.626494328830614,0.04580010662633274,0.04500856055868728,0.049395519623407436
19,phase_shift,13,0.9792219058103168,3,0.9784354628632586,0.8413352932613837,0.9506836480885426,0.9828378222212909,0.04381283239116214,0.7011303252722522,14.191007450041878,8.329482893510825,0.07322970629830429,0.01326164973467474,0.0228572569127048
19,phase_shift,14,0.9899094749878158,3,0.9892059081509361,0.7623022646722091,0.9506836480885426,0.9929520421707296,0.05206657014175737,0.7106864005620379,4.649785819957246,40.82051181305386,0.05466623332293263,0.07896948498381709,0.08427416044314244
19,phase_shift,15,0.9518542004477611,3,0.9510747386631861,0.889029841550524,0.9506836480885426,0.9565762413724633,0.055024274626238864,0.686110651348596,31.261278775585644,24.108405851333107,0.10573216810918705,0.036127646315970895,0.05817752824012698
19,phase_shift,16,0.974474177355221,3,0.9739508039323999,0.8586016183147045,0.9641348149258043,0.9774077891908773,0.15030339550737304,0.7292764710858259,15.582155597348002,11.273958605383164,0.08029628689474043,0.020980345529533154,0.029299932854944134
19,phase_shift,17,0.9887834584434011,3,0.9882115388752397,0.8606759516004031,0.9506836480885426,0.9909564469214334,0.04938088587144435,0.7084837786064366,9.961298700423715,13.890193570318681,0.052992320787361206,0.024695439375750076,0.03120421095039594
19,phase_shift,18,0.9877987280066862,3,0.9870920469294016,0.7651786666604005,0.9506836480885426,0.9913638809358818,0.060282024611383024,0.7120393240385321,6.9071791326367675,8.62054841168023,0.059186089934871636,0.017981131226613965,0.021479675796639217
19,phase_shift,19,0.9802218382063782,3,0.979408708890479,0.7766197378050697,0.9506836480885426,0.9847032982715047,0.041162033763853585,0.7016409189192093,9.059373762792683,17.85716779789374,0.07487063485134597,0.03367874812066247,0.04073563445787826
19,phase_shift,20,0.9904599263600307,3,0.989872736671694,0.8025199580061086,0.9506836480885426,0.9930980625333051,0.04764915928488956,0.7094633915587805,6.372783225625921,11.644215617352822,0.0510515353372967,0.021686369581014688,0.02642016652841553
19,phase_shift,21,0.9797685740062654,3,0.979009428387708,0.791470069078533,0.9506836480885426,0.9839360875519367,0.05589203162550775,0.705522870774008,9.630908534478896,15.865853886557469,0.07470570506523315,0.02990885147206701,0.03698789421047875
